一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1114,BC-2头部料斗,简单运输,上级排放源名称1,BC-1至BC-2皮带落料点,JSSG_QD_YS1_1167
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1115,BC-1头部料斗,简单运输,上级排放源名称1,桥基至BC-1落料点1,JSSG_QD_YS1_1010
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1116,焦炭管带机至Y203皮带落料点,简单运输,上级排放源名称1,焦炭管带机,JSSG_QD_YS1_1065
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1117,二车间皮带至焦炭管带落料点,简单运输,上级排放源名称1,二车间皮带（待定）,跨区域，编号待定
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1118,烧结矿管带机至槽前2#落料点,简单运输,上级排放源名称1,烧结矿管带机头部料斗,JSSG_QD_YS1_1080
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1119,烧结矿管带机至槽前1#落料点,简单运输,上级排放源名称1,烧结矿管带机头部料斗,JSSG_QD_YS1_1080
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1120,烧结矿管带机至F103落料点,简单运输,上级排放源名称1,烧结矿管带机头部料斗,JSSG_QD_YS1_1080
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1121,SY002至烧结矿管带机落料点,简单运输,上级排放源名称1,SY002头部料斗,JSSG_QD_YS1_1078
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1122,五车间管带机至缓冲仓落料点,简单运输,上级排放源名称1,东区管带机机头,JSSG_QD_YS1_1357
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1123,HC-1至G204-1皮带落料点,简单运输,上级排放源名称1,HC-1机头,JSSG_QD_YS1_1358
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1124,HC-1至G103-1皮带落料点,简单运输,上级排放源名称1,HC-1机头,JSSG_QD_YS1_1358
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1125,污泥7#至污泥2#皮带落料点,简单运输,上级排放源名称1,污泥7#头部料斗,JSSG_QD_YS1_1091
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1126,污泥集中灰仓至污泥2#皮带落料点,简单运输,上级排放源名称1,污泥集中灰仓,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1127,污泥反矿仓至污泥2#皮带落料点,简单运输,上级排放源名称1,污泥反矿仓,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1128,污泥3#至污泥堆高机皮带落料点,简单运输,上级排放源名称1,污泥3#头部料斗,JSSG_QD_YS1_1087
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1129,污泥9#至污泥7#皮带落料点,简单运输,上级排放源名称1,污泥9#头部料斗,JSSG_QD_YS1_1092
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1130,污泥8#搅拌站至污泥8#皮带落料点,简单运输,上级排放源名称1,二车间4#料场,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1131,污泥9#搅拌站至污泥9#皮带落料点,简单运输,上级排放源名称1,二车间4#料场,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1132,污泥8#至污泥7#皮带落料点,简单运输,上级排放源名称1,污泥8#搅拌站至污泥8#皮带落料点,JSSG_QD_YS1_1130
原料烧结厂,原料烧结厂一车间,污泥处理站,JSSG_QD_YS1_1133,双角笼搅拌站至污泥3#皮带落料点,简单运输,上级排放源名称1,污泥双绞笼搅拌站,JSSG_QD_YS1_1088
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1134,M103移动小车顶部卸料点,简单运输,上级排放源名称1,M103皮带头轮,JSSG_QD_YS1_1031
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1135,9BC小车落料点（至仓）,简单运输,上级排放源名称1,9BC小车顶部卸料点,JSSG_QD_YS1_1028
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1136,8BC小车落料点（至仓）,简单运输,上级排放源名称1,8BC小车顶部卸料点,JSSG_QD_YS1_1026
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1137,7BC至9BC皮带落料点,简单运输,上级排放源名称1,7BC可逆皮带卸料点,JSSG_QD_YS1_1029
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1138,7BC至8BC皮带落料点,简单运输,上级排放源名称1,7BC机头卸料点,JSSG_QD_YS1_1030
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1139,6BC至7BC皮带落料点,简单运输,上级排放源名称1,6BC头部料斗,JSSG_QD_YS1_1081
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1140,4BC至6BC皮带落料点,简单运输,上级排放源名称1,4BC头部料斗,JSSG_QD_YS1_1084
